,word,counts
0,",",48588
1,the,36394
2,.,30189
3,of,19471
4,and,13976
5,a,13381
6,to,13248
7,in,10189
8,was,8542
9,that,7239
10,he,6784
11,”,6749
12,had,6140
13,his,6104
14,is,5989
15,;,5880
16,which,5066
17,it,4842
18,with,4373
19,on,4097
20,The,3688
21,not,3679
22,!,3538
23,at,3501
24,I,3043
25,?,2973
26,him,2937
27,this,2935
28,you,2919
29,as,2870
