,word,counts
0,",",4956
1,the,3904
2,and,2931
3,.,2903
4,I,2772
5,of,2638
6,to,2078
7,my,1634
8,a,1345
9,in,1079
10,was,1017
11,that,1001
12,;,971
13,me,867
14,had,684
15,with,659
16,which,558
17,but,546
18,not,507
19,his,502
20,you,498
21,as,482
22,he,473
23,for,470
24,it,447
25,by,443
26,on,441
27,from,373
28,have,358
29,her,358
