,word,counts
0,",",18948
1,the,13559
2,.,7303
3,of,6418
4,and,5946
5,a,4468
6,to,4452
7,;,4139
8,in,3840
9,that,2872
10,his,2439
11,it,2117
12,I,1874
13,!,1740
14,is,1659
15,with,1634
16,---,1623
17,was,1616
18,as,1600
19,he,1546
20,all,1435
21,for,1394
22,”,1314
23,this,1273
24,at,1218
25,by,1118
26,not,1093
27,but,1085
28,him,1053
29,from,1044
